features,model,accuracy
"('chroma', 'zcr', 'centroid')",Random Forest,0.7934508816120907
"('mfccs', 'chroma', 'spectral_contrast', 'zcr', 'rolloff')",SVM,0.7909319899244333
"('mfccs', 'spectral_contrast', 'zcr', 'centroid')",SVM,0.7909319899244333
"('mfccs', 'chroma', 'spectral_contrast', 'rolloff', 'rms_energy')",SVM,0.7909319899244333
"('mfccs', 'spectral_contrast', 'centroid', 'rms_energy')",SVM,0.7909319899244333
"('mfccs', 'chroma', 'spectral_contrast', 'zcr', 'centroid')",SVM,0.7909319899244333
"('mfccs', 'spectral_contrast', 'rolloff', 'rms_energy')",SVM,0.7909319899244333
"('mfccs', 'chroma', 'spectral_contrast', 'zcr', 'rolloff', 'rms_energy')",SVM,0.7909319899244333
"('mfccs', 'chroma', 'spectral_contrast', 'zcr', 'centroid', 'rms_energy')",SVM,0.7909319899244333
"('zcr', 'rolloff', 'centroid', 'rms_energy')",Random Forest,0.7909319899244333
"('mfccs', 'chroma', 'spectral_contrast', 'centroid', 'rms_energy')",SVM,0.7909319899244333
"('mfccs', 'spectral_contrast', 'zcr', 'centroid', 'rms_energy')",SVM,0.7909319899244333
"('mfccs', 'spectral_contrast', 'zcr', 'rolloff', 'rms_energy')",SVM,0.7909319899244333
"('mfccs', 'spectral_contrast', 'zcr', 'rolloff')",SVM,0.7909319899244333
"('mfccs', 'spectral_contrast', 'rolloff')",SVM,0.7909319899244333
"('mfccs', 'chroma', 'spectral_contrast', 'rolloff')",SVM,0.7909319899244333
"('mfccs', 'spectral_contrast', 'centroid')",SVM,0.7909319899244333
"('mfccs', 'chroma', 'spectral_contrast', 'centroid')",SVM,0.7909319899244333
"('chroma', 'rolloff', 'centroid', 'rms_energy')",Logistic Regression,0.7909319899244333
"('chroma', 'rolloff', 'rms_energy')",Logistic Regression,0.7884130982367759
"('chroma', 'zcr', 'rolloff', 'centroid')",Logistic Regression,0.7884130982367759
"('chroma', 'rolloff')",Logistic Regression,0.7884130982367759
"('chroma', 'centroid', 'rms_energy')",Random Forest,0.7884130982367759
"('chroma', 'rolloff', 'centroid')",Logistic Regression,0.7858942065491183
"('rolloff', 'centroid', 'rms_energy')",Logistic Regression,0.7858942065491183
"('chroma', 'centroid')",Random Forest,0.7858942065491183
"('chroma', 'zcr')",Random Forest,0.7858942065491183
"('mfccs', 'zcr', 'centroid', 'rms_energy')",SVM,0.783375314861461
"('chroma', 'zcr', 'rolloff', 'centroid', 'rms_energy')",Logistic Regression,0.783375314861461
"('mfccs', 'centroid')",SVM,0.783375314861461
"('mfccs', 'centroid', 'rms_energy')",SVM,0.783375314861461
"('mfccs', 'chroma', 'centroid')",SVM,0.783375314861461
"('mfccs', 'chroma', 'centroid', 'rms_energy')",SVM,0.783375314861461
"('mfccs', 'zcr', 'centroid')",SVM,0.783375314861461
"('mfccs', 'chroma', 'zcr', 'centroid')",SVM,0.783375314861461
"('mfccs', 'chroma', 'zcr', 'centroid', 'rms_energy')",SVM,0.783375314861461
"('mfccs', 'chroma', 'spectral_contrast', 'rolloff', 'centroid')",SVM,0.7808564231738035
"('rolloff', 'centroid')",Logistic Regression,0.7808564231738035
"('mfccs', 'chroma', 'rolloff')",SVM,0.7808564231738035
"('mfccs', 'rolloff', 'rms_energy')",SVM,0.7808564231738035
"('mfccs', 'chroma', 'zcr', 'rolloff', 'rms_energy')",SVM,0.7808564231738035
"('mfccs', 'spectral_contrast', 'rolloff', 'centroid', 'rms_energy')",SVM,0.7808564231738035
"('mfccs', 'zcr', 'rolloff')",SVM,0.7808564231738035
"('mfccs', 'chroma', 'spectral_contrast', 'zcr', 'rolloff', 'centroid')",SVM,0.7808564231738035
"('mfccs', 'chroma', 'zcr', 'rolloff')",SVM,0.7808564231738035
"('mfccs', 'chroma', 'rolloff', 'rms_energy')",SVM,0.7808564231738035
"('mfccs', 'chroma', 'spectral_contrast', 'zcr', 'rolloff', 'centroid', 'rms_energy')",SVM,0.7808564231738035
"('mfccs', 'spectral_contrast', 'zcr', 'rolloff', 'centroid', 'rms_energy')",SVM,0.7808564231738035
"('mfccs', 'zcr', 'rolloff', 'rms_energy')",SVM,0.7808564231738035
"('mfccs', 'rolloff')",SVM,0.7808564231738035
"('mfccs', 'chroma', 'spectral_contrast', 'rolloff', 'centroid', 'rms_energy')",SVM,0.7808564231738035
"('mfccs', 'spectral_contrast', 'zcr', 'rolloff', 'centroid')",SVM,0.7808564231738035
"('mfccs', 'spectral_contrast', 'rolloff', 'centroid')",SVM,0.7808564231738035
"('zcr', 'rolloff', 'centroid')",Logistic Regression,0.7783375314861462
"('mfccs', 'chroma', 'zcr', 'rolloff', 'centroid', 'rms_energy')",SVM,0.7758186397984886
"('rolloff', 'centroid', 'rms_energy')",Random Forest,0.7758186397984886
"('mfccs', 'rolloff', 'centroid')",SVM,0.7758186397984886
"('zcr', 'rolloff', 'centroid', 'rms_energy')",Logistic Regression,0.7758186397984886
"('mfccs', 'chroma', 'rolloff', 'centroid', 'rms_energy')",SVM,0.7758186397984886
"('mfccs', 'chroma', 'rolloff', 'centroid')",SVM,0.7758186397984886
"('zcr', 'rolloff', 'centroid')",Random Forest,0.7758186397984886
"('mfccs', 'zcr', 'rolloff', 'centroid')",SVM,0.7758186397984886
"('mfccs', 'zcr', 'rolloff', 'centroid', 'rms_energy')",SVM,0.7758186397984886
"('mfccs', 'chroma', 'zcr', 'rolloff', 'centroid')",SVM,0.7758186397984886
"('mfccs', 'rolloff', 'centroid', 'rms_energy')",SVM,0.7758186397984886
"('mfccs', 'chroma', 'spectral_contrast')",SVM,0.7732997481108312
"('mfccs', 'chroma', 'spectral_contrast', 'zcr', 'rms_energy')",SVM,0.7732997481108312
"('mfccs', 'spectral_contrast', 'zcr')",SVM,0.7732997481108312
"('mfccs', 'spectral_contrast', 'rms_energy')",SVM,0.7732997481108312
"('mfccs', 'spectral_contrast')",SVM,0.7732997481108312
"('mfccs', 'chroma', 'spectral_contrast', 'zcr')",SVM,0.7732997481108312
